N,bst size,bst maxHeight, bst aveHeight,log(size),sqrt(size),log(N),sqrt(N)
6261,451,13,8.0,6.111467339502679,21.236760581595302,8.74209519574531,79.12648102879339
6262,450,13,8.0,6.1092475827643655,21.213203435596427,8.742254901886351,79.13279977354523
6263,442,13,8.0,6.091309882077698,21.02379604162864,8.742414582525413,79.13911801378633
6264,461,13,8.0,6.133398042996649,21.470910553583888,8.74257423767064,79.14543574963751
6265,468,13,8.0,6.148468295917647,21.633307652783937,8.742733867330168,79.15175298121956
6266,461,13,8.0,6.133398042996649,21.470910553583888,8.742893471512136,79.1580697086532
6267,470,13,8.0,6.152732694704104,21.6794833886788,8.743053050224676,79.16438593205912
6268,469,13,8.0,6.150602768446279,21.656407827707714,8.74321260347591,79.17070165155795
6269,468,13,8.0,6.148468295917647,21.633307652783937,8.743372131273969,79.17701686727027
6270,467,13,8.0,6.1463292576688975,21.61018278497431,8.743531633626967,79.18333157931662
6271,467,13,8.0,6.1463292576688975,21.61018278497431,8.74369111054302,79.18964578781748
6272,459,13,8.0,6.129050210060545,21.42428528562855,8.743850562030243,79.19595949289332
6273,459,13,8.0,6.129050210060545,21.42428528562855,8.744009988096744,79.20227269466452
6274,459,13,8.0,6.129050210060545,21.42428528562855,8.744169388750624,79.20858539325141
6275,461,13,8.0,6.133398042996649,21.470910553583888,8.744328763999984,79.21489758877429
6276,461,13,8.0,6.133398042996649,21.470910553583888,8.744488113852924,79.22120928135344
6277,460,13,8.0,6.131226489483141,21.447610589527216,8.744647438317532,79.22752047110903
6278,472,13,8.0,6.156978985585555,21.72556098240043,8.744806737401898,79.23383115816122
6279,471,13,8.0,6.154858094016418,21.702534414210707,8.744966011114109,79.24014134263012
6280,470,13,8.0,6.152732694704104,21.6794833886788,8.745125259462244,79.2464510246358
6281,469,13,8.0,6.150602768446279,21.656407827707714,8.74528448245438,79.25276020429824
6282,478,13,8.0,6.169610732491456,21.863211109075447,8.745443680098592,79.25906888173743
6283,469,13,8.0,6.150602768446279,21.656407827707714,8.745602852402946,79.26537705707328
6284,468,13,8.0,6.148468295917647,21.633307652783937,8.745761999375512,79.27168473042566
6285,468,13,8.0,6.148468295917647,21.633307652783937,8.745921121024347,79.27799190191436
6286,461,13,8.0,6.133398042996649,21.470910553583888,8.746080217357513,79.28429857165919
6287,461,13,8.0,6.133398042996649,21.470910553583888,8.74623928838306,79.29060473977985
6288,453,13,8.0,6.115892125483034,21.283796653792763,8.746398334109042,79.29691040639604
6289,453,13,8.0,6.115892125483034,21.283796653792763,8.746557354543503,79.30321557162736
6290,453,13,8.0,6.115892125483034,21.283796653792763,8.746716349694486,79.30952023559341
6291,444,13,8.0,6.095824562432225,21.071307505705477,8.74687531957003,79.31582439841371
6292,443,13,8.0,6.093569770045136,21.047565179849187,8.747034264178168,79.32212806020776
6293,442,13,8.0,6.091309882077698,21.02379604162864,8.747193183526933,79.328431221095
6294,434,13,8.0,6.073044534100405,20.83266665599966,8.747352077624353,79.33473388119481
6295,425,13,8.0,6.052089168924417,20.615528128088304,8.747510946478448,79.34103604062655
6296,435,13,8.0,6.075346031088684,20.85665361461421,8.74766979009724,79.3473376995095
6297,426,13,8.0,6.054439346269371,20.639767440550294,8.747828608488742,79.3536388579629
6298,416,13,8.0,6.030685260261263,20.396078054371138,8.74798740166097,79.35993951610598
6299,413,13,8.0,6.023447592961033,20.322401432901575,8.74814616962193,79.36623967405788
6300,412,13,8.0,6.021023349349527,20.29778313018444,8.748304912379623,79.37253933193772
6301,412,13,8.0,6.021023349349527,20.29778313018444,8.748463629942055,79.37883848986453
6302,421,13,8.0,6.042632833682381,20.518284528683193,8.74862232231722,79.38513714795737
6303,420,13,8.0,6.040254711277414,20.493901531919196,8.74878098951311,79.39143530633515
6304,410,13,8.0,6.016157159698354,20.248456731316587,8.748939631537715,79.39773296511683
6305,410,13,8.0,6.016157159698354,20.248456731316587,8.74909824839902,79.40403012442127
6306,406,13,8.0,6.0063531596017325,20.149441679609886,8.749256840105007,79.41032678436729
6307,406,13,8.0,6.0063531596017325,20.149441679609886,8.749415406663651,79.41662294507366
6308,400,13,8.0,5.991464547107982,20.0,8.74957394808293,79.42291860665912
6309,400,13,8.0,5.991464547107982,20.0,8.74973246437081,79.42921376924235
6310,400,13,8.0,5.991464547107982,20.0,8.749890955535259,79.435508432942
6311,399,13,8.0,5.988961416889864,19.974984355438178,8.75004942158424,79.44180259787665
6312,401,13,8.0,5.993961427306569,20.024984394500787,8.750207862525711,79.44809626416482
6313,405,13,8.0,6.003887067106539,20.12461179749811,8.750366278367625,79.45438943192504
6314,397,13,8.0,5.983936280687191,19.924858845171276,8.750524669117937,79.46068210127572
6315,386,13,8.0,5.955837369464831,19.6468827043885,8.750683034784592,79.46697427233529
6316,386,13,8.0,5.955837369464831,19.6468827043885,8.750841375375533,79.47326594522211
6317,386,13,8.0,5.955837369464831,19.6468827043885,8.7509996908987,79.47955712005447
6318,385,13,8.0,5.953243334287785,19.621416870348583,8.75115798136203,79.48584779695062
6319,394,13,8.0,5.976350909297934,19.849433241279208,8.751316246773456,79.4921379760288
6320,403,13,8.0,5.998936561946683,20.074859899884732,8.751474487140904,79.49842765740716
6321,397,13,8.0,5.983936280687191,19.924858845171276,8.751632702472298,79.50471684120383
6322,393,13,8.0,5.973809611869261,19.82422760159901,8.751790892775563,79.51100552753688
6323,388,13,8.0,5.961005339623274,19.697715603592208,8.751949058058614,79.51729371652434
6324,388,13,8.0,5.961005339623274,19.697715603592208,8.752107198329362,79.52358140828417
6325,387,13,8.0,5.958424693029782,19.672315572906,8.752265313595721,79.52986860293433
6326,386,13,8.0,5.955837369464831,19.6468827043885,8.752423403865594,79.5361553005927
